invoice_id,subscription_id,invoice_date,amount,type
1,1,2021-04-13,0,recurring
2,1,2021-05-13,0,recurring
3,1,2021-06-12,0,recurring
4,1,2021-07-12,0,recurring
5,1,2021-08-11,0,recurring
6,1,2021-09-10,0,recurring
7,1,2021-10-10,0,recurring
8,1,2021-11-09,0,recurring
9,1,2021-12-09,0,recurring
10,1,2022-01-08,0,recurring
11,1,2022-02-07,0,recurring
12,1,2022-03-09,0,recurring
13,1,2022-04-08,0,recurring
14,1,2022-05-08,0,recurring
15,1,2022-06-07,0,recurring
16,1,2022-07-07,0,recurring
17,1,2022-08-06,0,recurring
18,1,2022-09-05,0,recurring
19,1,2022-10-05,0,recurring
20,1,2022-11-04,0,recurring
21,1,2022-12-04,0,recurring
22,2,2022-03-12,250,recurring
23,2,2022-04-11,250,recurring
24,2,2022-05-11,250,recurring
25,2,2022-06-10,250,recurring
26,2,2022-07-10,250,recurring
27,2,2022-08-09,250,recurring
28,2,2022-09-08,250,recurring
29,2,2022-10-08,250,recurring
30,2,2022-11-07,250,recurring
31,2,2022-12-07,250,recurring
32,2,2023-01-06,250,recurring
33,2,2023-02-05,250,recurring
34,2,2023-03-07,250,recurring
35,2,2023-04-06,250,recurring
36,2,2023-05-06,250,recurring
37,2,2023-06-05,250,recurring
38,2,2023-07-05,250,recurring
39,2,2023-08-04,250,recurring
40,2,2023-09-03,250,recurring
41,2,2023-10-03,250,recurring
42,3,2023-05-11,250,recurring
43,3,2023-06-10,250,recurring
44,3,2023-07-10,250,recurring
45,3,2023-08-09,250,recurring
46,3,2023-09-08,250,recurring
47,3,2023-10-08,250,recurring
48,4,2021-09-28,250,recurring
49,4,2021-10-28,250,recurring
50,4,2021-11-27,250,recurring
51,4,2021-12-27,250,recurring
52,4,2022-01-26,250,recurring
53,4,2022-02-25,250,recurring
54,4,2022-03-27,250,recurring
55,4,2022-04-26,250,recurring
56,4,2022-05-26,250,recurring
57,5,2021-04-17,250,recurring
58,5,2021-05-17,250,recurring
59,5,2021-06-16,250,recurring
60,5,2021-07-16,250,recurring
61,5,2021-08-15,250,recurring
62,5,2021-09-14,250,recurring
63,5,2021-10-14,250,recurring
64,5,2021-11-13,250,recurring
65,5,2021-12-13,250,recurring
66,5,2022-01-12,250,recurring
67,5,2022-02-11,250,recurring
68,5,2022-03-13,250,recurring
69,5,2022-04-12,250,recurring
70,5,2022-05-12,250,recurring
71,5,2022-06-11,250,recurring
72,5,2022-07-11,250,recurring
73,5,2022-08-10,250,recurring
74,5,2022-09-09,250,recurring
75,5,2022-10-09,250,recurring
76,5,2022-11-08,250,recurring
77,5,2022-12-08,250,recurring
78,5,2023-01-07,250,recurring
79,5,2023-02-06,250,recurring
80,5,2023-03-08,250,recurring
81,5,2023-04-07,250,recurring
82,5,2023-05-07,250,recurring
83,5,2023-06-06,250,recurring
84,5,2023-07-06,250,recurring
85,5,2023-08-05,250,recurring
86,5,2023-09-04,250,recurring
87,5,2023-10-04,250,recurring
88,6,2021-03-13,250,recurring
89,6,2021-04-12,250,recurring
90,6,2021-05-12,250,recurring
91,6,2021-06-11,250,recurring
92,6,2021-07-11,250,recurring
93,6,2021-08-10,250,recurring
94,6,2021-09-09,250,recurring
95,6,2021-10-09,250,recurring
96,6,2021-11-08,250,recurring
97,6,2021-12-08,250,recurring
98,6,2022-01-07,250,recurring
99,6,2022-02-06,250,recurring
100,6,2022-03-08,250,recurring
101,6,2022-04-07,250,recurring
102,6,2022-05-07,250,recurring
103,6,2022-06-06,250,recurring
104,6,2022-07-06,250,recurring
105,6,2022-08-05,250,recurring
106,6,2022-09-04,250,recurring
107,6,2022-10-04,250,recurring
108,6,2022-11-03,250,recurring
109,7,2022-12-02,250,recurring
110,7,2023-01-01,250,recurring
111,7,2023-01-31,250,recurring
112,7,2023-03-02,250,recurring
113,7,2023-04-01,250,recurring
114,7,2023-05-01,250,recurring
115,7,2023-05-31,250,recurring
116,7,2023-06-30,250,recurring
117,7,2023-07-30,250,recurring
118,7,2023-08-29,250,recurring
119,7,2023-09-28,250,recurring
120,8,2021-01-21,0,recurring
121,8,2021-02-20,0,recurring
122,8,2021-03-22,0,recurring
123,8,2021-04-21,0,recurring
124,8,2021-05-21,0,recurring
125,8,2021-06-20,0,recurring
126,8,2021-07-20,0,recurring
127,8,2021-08-19,0,recurring
128,8,2021-09-18,0,recurring
129,8,2021-10-18,0,recurring
130,8,2021-11-17,0,recurring
131,8,2021-12-17,0,recurring
132,8,2022-01-16,0,recurring
133,8,2022-02-15,0,recurring
134,8,2022-03-17,0,recurring
135,8,2022-04-16,0,recurring
136,8,2022-05-16,0,recurring
137,8,2022-06-15,0,recurring
138,8,2022-07-15,0,recurring
139,8,2022-08-14,0,recurring
140,8,2022-09-13,0,recurring
141,8,2022-10-13,0,recurring
142,8,2022-11-12,0,recurring
143,8,2022-12-12,0,recurring
144,8,2023-01-11,0,recurring
145,8,2023-02-10,0,recurring
146,8,2023-03-12,0,recurring
147,8,2023-04-11,0,recurring
148,8,2023-05-11,0,recurring
149,8,2023-06-10,0,recurring
150,8,2023-07-10,0,recurring
151,8,2023-08-09,0,recurring
152,8,2023-09-08,0,recurring
153,8,2023-10-08,0,recurring
154,9,2022-09-07,0,recurring
155,9,2022-10-07,0,recurring
156,9,2022-11-06,0,recurring
